date,insertions,deletions,number_of_commits,files,lines
2016-01,21425,8800,230,2209,30225
2016-02,38408,13419,230,2168,51827
2016-03,57329,19976,322,2478,77305
2016-04,990685,15203,584,4867,1005888
2016-05,33532,9789,183,1421,43321
2016-06,10301,3659,153,748,13960
2016-07,151233,37960,211,1235,189193
2016-08,35181,17590,121,802,52771
2016-09,199451,57398,178,4250,256849
2016-10,56708,15555,398,2546,72263
2016-11,70127,6676,172,1410,76803
2016-12,335297,22446,278,7954,357743
2017-01,29194,11804,215,1646,40998
2017-02,21744,5078,130,835,26822
2017-03,96882,38833,278,2101,135715
2017-04,87457,19043,254,2128,106500
2017-05,363974,50837,197,9428,414811
2017-06,58381,3820,137,1176,62201
2017-07,1051658,915103,159,10577,1966761
2017-08,26488,5714,185,1327,32202
2017-09,395846,33649,295,5928,429495
2017-10,42605,9034,216,1946,51639
2017-11,44168,12571,312,1880,56739
2017-12,285584,149270,291,5468,434854
2018-01,164524,115517,373,2573,280041
2018-02,61151,25657,308,2147,86808
2018-03,92748,13916,259,2488,106664
2018-04,156868,47380,238,2383,204248
2018-05,90270,265965,204,5242,356235
2018-06,42152,6625,229,1558,48777
2018-07,41911,16103,211,1775,58014
2018-08,18890,4658,199,1419,23548
2018-09,101718,27810,134,8446,129528
2018-10,32821,20911,187,5530,53732
2018-11,77681,8697,271,2433,86378
2018-12,50756,17639,123,1245,68395
2019-01,1666100,51976,214,25688,1718076
2019-02,68959,49112,236,3727,118071
2019-03,69690,5424,178,1705,75114
2019-04,51963,6559,257,2025,58522
2019-05,169433,3958,157,2947,173391
2019-06,85224,45440,188,2456,130664
2019-07,14826,3038,116,852,17864
2019-08,275777,154911,159,924,430688
2019-09,42350,18133,152,1179,60483
2019-10,46457,5833,110,1096,52290
2019-11,55681,21823,177,1881,77504
2019-12,37791,3668,187,1100,41459
2020-01,21738,4074,235,1099,25812
2020-02,126441,49128,231,2511,175569
2020-03,179663,147608,135,2997,327271
2020-04,221236,72835,170,2863,294071
2020-05,146249,42061,192,1885,188310
2020-06,25723,8673,242,1515,34396
2020-07,110307,48457,121,1957,158764
2020-08,63032,30797,232,3684,93829
2020-09,53082,7830,163,2089,60912
2020-10,33485,3067,236,1414,36552
2020-11,63047,57809,204,2275,120856
2020-12,22479,3454,85,651,25933
2021-01,11431,2416,113,545,13847
2021-02,10421,1398,92,488,11819
2021-03,81339,36004,257,2325,117343
2021-04,29018,372486,147,2793,401504
2021-05,958,498,11,141,1456
