date,created,updated
2016-01,8,8
2016-02,2,1
2016-03,7,4
2016-04,13,15
2016-05,2,2
2016-06,2,2
2016-07,2,2
2016-08,0,0
2016-09,1,1
2016-10,2,1
2016-11,2,3
2016-12,1,0
2017-01,0,0
2017-02,5,5
2017-03,9,3
2017-04,1,1
2017-05,2,0
2017-06,5,4
2017-07,1,2
2017-08,4,3
2017-09,6,5
2017-10,6,4
2017-11,3,3
2017-12,4,3
2018-01,7,4
2018-02,3,5
2018-03,4,4
2018-04,6,6
2018-05,4,3
2018-06,2,1
2018-07,7,5
2018-08,6,9
2018-09,4,3
2018-10,2,2
2018-11,5,6
2018-12,20,14
2019-01,9,9
2019-02,3,6
2019-03,7,8
2019-04,7,6
2019-05,10,8
2019-06,6,4
2019-07,7,7
2019-08,7,10
2019-09,15,12
2019-10,7,7
2019-11,5,5
2019-12,7,8
2020-01,9,14
2020-02,7,6
2020-03,7,8
2020-04,11,15
2020-05,7,7
2020-06,6,7
2020-07,14,14
2020-08,3,3
2020-09,8,9
2020-10,39,35
2020-11,24,22
2020-12,23,28
2021-01,13,15
2021-02,6,9
2021-03,14,18
2021-04,14,15
2021-05,13,18
